Date,Close,High,Low,Open,Volume
4/25/2023,162.1349182,164.6495521,162.0953091,163.5407391,48714100
4/26/2023,162.1250153,163.6298438,161.1746084,161.4320071,45498800
4/27/2023,166.7285767,166.877073,163.5407243,163.5407243,64902300
4/28/2023,167.9859161,168.1542322,166.2038993,166.8078097,55209200
5/1/2023,167.8968048,168.7482191,166.9562927,167.5899023,52472900
5/2/2023,166.8572845,168.6492261,165.8672686,168.3918123,48425700
5/3/2023,165.778183,169.2135399,165.491085,167.8077189,65136000
5/4/2023,164.1347198,165.3722397,162.6695006,163.2437116,81235400
5/5/2023,171.8370972,172.5598047,169.0551393,169.2729441,113316400
5/8/2023,171.7677612,172.1142728,170.3916397,170.7579408,55962800
5/9/2023,170.0550537,171.8073712,169.8867528,171.322273,45326900
5/10/2023,171.8271484,172.2924571,170.1837185,171.2925465,53724500
5/11/2023,172.015274,172.8468838,170.451047,172.1142817,49514700
5/12/2023,171.083374,172.5605285,169.5268918,172.1243165,45497800
5/15/2023,170.5876923,171.717871,169.992855,171.6682987,37266700
5/16/2023,170.5876923,171.6484668,170.320014,170.5083796,42110300
5/17/2023,171.2023468,171.4402696,168.9518977,170.2307933,57951600
5/18/2023,173.5420227,173.7303884,171.0932995,171.5096795,65496700
5/19/2023,173.6510468,174.8704464,173.4329408,174.8704464,55772400
5/22/2023,172.6993256,173.2049418,171.9557865,172.4812196,43570900
5/23/2023,170.0820618,171.8863903,169.8044751,171.638544,50747300
5/24/2023,170.3596497,170.934655,169.0510289,169.6161107,45143500
5/25/2023,171.4997406,172.4018897,170.2109367,170.9247353,56058300
5/26/2023,173.9187164,174.2557989,171.6187104,171.826908,54835000
5/30/2023,175.7726135,177.4480571,175.0489065,175.4355462,55964400
5/31/2023,175.723053,177.8049683,175.2372687,175.8023656,99625300
6/1/2023,178.5385742,178.5683146,175.4057931,176.169164,68901800
6/2/2023,179.3911743,180.214026,177.7157307,179.470487,61945900
6/5/2023,178.0329895,183.3567242,176.5062475,181.056718,121946500
6/6/2023,177.6661682,178.5683173,175.9014884,178.4196156,64848400
6/7/2023,176.2881317,179.6489271,175.7924391,176.9027857,61944600
6/8/2023,179.0144653,179.2821285,175.9312562,176.3674531,50214900
6/9/2023,179.4010925,180.660141,179.0739336,179.9364339,48870700
6/12/2023,182.2067108,182.3058554,179.4110119,179.7084306,54274900
6/13/2023,181.730835,182.563595,180.8683346,181.2252339,54929100
6/14/2023,182.3653259,182.8015379,180.4519595,181.7903206,57462900
6/15/2023,184.4075928,184.913209,182.1968076,182.3752648,65433200
6/16/2023,183.3269958,185.379171,182.6826014,185.1214011,101235600
6/20/2023,183.4161835,184.4968049,182.8213614,182.8213614,49799100
6/21/2023,182.3752441,183.8127498,181.017036,183.3071336,49515700
6/22/2023,185.3890533,185.4386256,182.0877384,182.1571427,51245300
6/23/2023,185.0718231,185.9442471,183.4162113,183.9515679,53079300
6/26/2023,183.6739655,186.4300155,183.6343016,185.2205242,48088700
6/27/2023,186.4399109,186.7670698,184.0705007,184.2886067,50730800
6/28/2023,187.6196594,188.2640538,185.9838798,186.3110236,51216800
6/29/2023,187.9567566,188.4326325,187.3123621,187.4511555,46347300
6/30/2023,192.2990265,192.8046276,189.6123654,189.9791883,85069600
7/3/2023,190.8020325,192.2097979,190.1080506,192.1106533,31458200
7/5/2023,189.6817474,191.3175271,188.9778572,189.9196853,46920300
7/6/2023,190.157608,190.3658056,187.5700918,188.2045778,45094300
7/7/2023,189.0373535,191.0102158,188.6011567,189.7610757,46778000
7/10/2023,186.985199,188.3533157,185.4287167,187.6295934,59922200
7/11/2023,186.4597626,187.6692539,184.9925165,187.5304606,46638100
7/12/2023,188.1352081,190.0485747,186.8464041,188.0459719,60750200
